name,code,division_type,codename,province_code
Krông Pa,637,huyện,huyen_krong_pa,64
Phú Thiện,638,huyện,huyen_phu_thien,64
Chư Pưh,639,huyện,huyen_chu_puh,64
Ma Thuột,643,thành phố,thanh_pho_buon_ma_thuot,66
Buôn Hồ,644,thị xã,thi_xa_buon_ho,66
Ea H'leo,645,huyện,huyen_ea_hleo,66
Ea Súp,646,huyện,huyen_ea_sup,66
Buôn Đôn,647,huyện,huyen_buon_don,66
Cư M'gar,648,huyện,huyen_cu_mgar,66
Krông Búk,649,huyện,huyen_krong_buk,66
Krông Năng,650,huyện,huyen_krong_nang,66
Ea Kar,651,huyện,huyen_ea_kar,66
M'Đrắk,652,huyện,huyen_mdrak,66
Krông Bông,653,huyện,huyen_krong_bong,66
Krông Pắc,654,huyện,huyen_krong_pac,66
A Na,655,huyện,huyen_krong_a_na,66
Huyện Lắk,656,huyện,huyen_lak,66
Cư Kuin,657,huyện,huyen_cu_kuin,66
Gia Nghĩa,660,thành phố,thanh_pho_gia_nghia,67
Đăk Glong,661,huyện,huyen_dak_glong,67
Cư Jút,662,huyện,huyen_cu_jut,67
Đắk Mil,663,huyện,huyen_dak_mil,67
Krông Nô,664,huyện,huyen_krong_no,67
Đắk Song,665,huyện,huyen_dak_song,67
R'Lấp,666,huyện,huyen_dak_rlap,67
Tuy Đức,667,huyện,huyen_tuy_duc,67
Đà Lạt,672,thành phố,thanh_pho_da_lat,68
Bảo Lộc,673,thành phố,thanh_pho_bao_loc,68
Đam Rông,674,huyện,huyen_dam_rong,68
Lạc Dương,675,huyện,huyen_lac_duong,68
Lâm Hà,676,huyện,huyen_lam_ha,68
Đơn Dương,677,huyện,huyen_don_duong,68
Đức Trọng,678,huyện,huyen_duc_trong,68
Di Linh,679,huyện,huyen_di_linh,68
Bảo Lâm,680,huyện,huyen_bao_lam,68
Đạ Huoai,681,huyện,huyen_da_huoai,68
Đạ Tẻh,682,huyện,huyen_da_teh,68
Cát Tiên,683,huyện,huyen_cat_tien,68
Phước Long,688,thị xã,thi_xa_phuoc_long,70
Đồng Xoài,689,thành phố,thanh_pho_dong_xoai,70
Bình Long,690,thị xã,thi_xa_binh_long,70
Gia Mập,691,huyện,huyen_bu_gia_map,70
Lộc Ninh,692,huyện,huyen_loc_ninh,70
Bù Đốp,693,huyện,huyen_bu_dop,70
Hớn Quản,694,huyện,huyen_hon_quan,70
Đồng Phú,695,huyện,huyen_dong_phu,70
Bù Đăng,696,huyện,huyen_bu_dang,70
Chơn Thành,697,huyện,huyen_chon_thanh,70
Phú Riềng,698,huyện,huyen_phu_rieng,70
Tây Ninh,703,thành phố,thanh_pho_tay_ninh,72
Tân Biên,705,huyện,huyen_tan_bien,72
Tân Châu,706,huyện,huyen_tan_chau,72
Minh Châu,707,huyện,huyen_duong_minh_chau,72
Châu Thành,708,huyện,huyen_chau_thanh,72
Hòa Thành,709,thị xã,thi_xa_hoa_thanh,72
Gò Dầu,710,huyện,huyen_go_dau,72
Bến Cầu,711,huyện,huyen_ben_cau,72
Trảng Bàng,712,thị xã,thi_xa_trang_bang,72
Dầu Một,718,thành phố,thanh_pho_thu_dau_mot,74
Bàu Bàng,719,huyện,huyen_bau_bang,74
Dầu Tiếng,720,huyện,huyen_dau_tieng,74
Bến Cát,721,thị xã,thi_xa_ben_cat,74
Phú Giáo,722,huyện,huyen_phu_giao,74
Tân Uyên,723,thị xã,thi_xa_tan_uyen,74
Dĩ An,724,thành phố,thanh_pho_di_an,74
Thuận An,725,thành phố,thanh_pho_thuan_an,74
